1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	0.132317	0.000000	13.958039	0.046312	276.2
1	0.135924	0.000000	13.958039	0.023533	76.9
2	0.128019	1.000000	13.323583	0.014315	76.4
3	0.125623	0.200000	13.826359	0.017297	74.1
4	0.128645	0.000000	13.958039	0.026376	76.6
5	0.127349	1.000000	13.323583	0.017610	73.8
6	0.122755	2.000000	12.744296	0.012195	74.2
7	0.122653	1.200000	13.203550	0.012795	75.3
8	0.117448	0.400000	13.697141	0.023490	75.2
9	0.120509	1.400000	13.085661	0.024933	76.3
10	0.112121	2.400000	12.526445	0.013466	75.4
11	0.109704	1.600000	12.969859	0.015044	72.3
12	0.109851	0.800000	13.445817	0.023727	72.9
13	0.110496	1.800000	12.856088	0.025138	74.5
14	0.107819	2.800000	12.315917	0.024498	72.4
15	0.106158	3.800000	11.819307	0.021659	74.6
16	0.101547	4.800000	11.361194	0.015982	73.3
17	0.103529	5.800000	10.937269	0.018095	74.0
18	0.103159	5.000000	11.273801	0.022187	74.5
19	0.095800	6.000000	10.856252	0.025811	72.6
20	0.090586	7.000000	10.468529	0.019781	74.1
21	0.090450	8.000000	10.107545	0.017411	73.6
22	0.092079	9.000000	9.770627	0.019845	73.2
23	0.092067	10.000000	9.455446	0.026284	73.4
24	0.090179	11.000000	9.159963	0.019117	72.7
25	0.085026	12.000000	8.882388	0.014030	73.1
26	0.085123	13.000000	8.621142	0.017823	73.1
27	0.085387	14.000000	8.374823	0.026151	72.0
28	0.081748	15.000000	8.142189	0.017308	72.3
29	0.084749	16.000000	7.922130	0.013601	71.6
30	0.082733	17.000000	7.713653	0.017648	73.7
31	0.087505	18.000000	7.515867	0.026228	72.1
32	0.082866	19.000000	7.327970	0.017114	72.1
33	0.084894	20.000000	7.149239	0.013407	72.6
34	0.080145	21.000000	6.979019	0.016526	74.8
35	0.086194	22.000000	6.816717	0.027099	74.3
36	0.086900	23.000000	6.661791	0.017416	72.2
37	0.082319	24.000000	6.513751	0.011637	74.3
38	0.084521	25.000000	6.372148	0.016193	77.2
39	0.084889	26.000000	6.236571	0.027786	71.1
40	0.087096	27.000000	6.106642	0.016169	71.8
41	0.082790	28.000000	5.982017	0.010130	70.7
42	0.082190	29.000000	5.862376	0.015019	72.1
43	0.083081	30.000000	5.747428	0.027762	73.0
44	0.083171	31.000000	5.636900	0.016747	70.6
45	0.080426	32.000000	5.530544	0.011896	70.8
46	0.079089	33.000000	5.428126	0.013808	73.0
47	0.077439	34.000000	5.329433	0.026082	69.4
48	0.079953	35.000000	5.234265	0.015262	70.7
49	0.079883	36.000000	5.142435	0.010673	75.9
50	0.078885	37.000000	5.053773	0.014558	77.5
51	0.080313	38.000000	4.968116	0.027643	72.6
52	0.079561	39.000000	4.885314	0.015168	71.9
53	0.079759	40.000000	4.805226	0.010090	74.3
54	0.079592	41.000000	4.727723	0.010819	70.6
55	0.078885	42.000000	4.652680	0.020385	70.5
56	0.076024	43.000000	4.579982	0.015857	73.8
57	0.078235	44.000000	4.509520	0.012792	72.1
58	0.080266	45.000000	4.441194	0.015232	70.7
59	0.082179	46.000000	4.374908	0.019282	71.1
60	0.078042	47.000000	4.310571	0.016437	73.8
61	0.077417	48.000000	4.248099	0.013177	70.8
62	0.082050	49.000000	4.187412	0.015692	74.4
63	0.078941	50.000000	4.128434	0.018684	72.4
64	0.082115	51.000000	4.071095	0.015894	71.8
65	0.078979	52.000000	4.015326	0.012888	70.9
66	0.079267	53.000000	3.961065	0.015380	74.9
67	0.078548	54.000000	3.908251	0.018909	76.7
68	0.080281	55.000000	3.856827	0.015933	71.4
69	0.076598	56.000000	3.806738	0.010183	71.7
70	0.080902	57.000000	3.757934	0.013953	70.8
71	0.079709	58.000000	3.710365	0.018272	71.0
72	0.079755	59.000000	3.663985	0.015185	71.9
73	0.076441	60.000000	3.618751	0.013120	69.8
